수집일자,기사ID,출처,소스ID,원문언어,번역여부,제목(KO),제목(원문),요약,토픽1,토픽2,발행일시,원문URL,수집일시
2026-04-01,0c757380-2e3f-474e-943c-b675e0570093,"전기신문",electimes,ko,N,"한전, 2030년까지 송배전망 23조 원 투자 계획 발표",,"한국전력이 2030년까지 노후 송배전 설비 교체와 재생에너지 연계 망 확충에 23조 원을 투자하는 계획을 발표했습니다. 특히 호남권과 서해안 해상풍력 연계 선로 구축에 집중 투자할 예정입니다.","전력 인프라",,2026-04-01T01:00:00.000Z,https://www.electimes.com/article/260401001,2026-04-01T08:30:00.000Z
2026-04-01,0e5d2429-5064-44bd-8367-383bd61bece0,"에너지경제신문",ekn,ko,N,"한수원, SMR 최초 설계 인가 신청 — 2035년 상용화 목표",,"한국수력원자력이 국내 최초로 소형모듈원전(SMR) 표준설계 인가를 원자력안전위원회에 신청했습니다. 전기출력 170MW급으로, 2035년 상용화를 목표로 하며 수출 시장도 동시에 겨냥하고 있습니다.","에너지원","정책·규제",2026-04-01T02:13:00.000Z,https://www.ekn.kr/article/260401001,2026-04-01T08:30:00.000Z
2026-04-01,039b15cb-907a-4ddd-8a71-9bf96f689977,"투데이에너지",todayenergy,ko,N,"VPP 운영 사업자 15개사 선정 — 가상발전소 시대 본격화",,"전력거래소가 VPP(가상발전소) 상업 운영 사업자 15개사를 최종 선정했습니다. ESS·태양광·수요 자원을 통합 제어하여 전력 시장에 참여하는 구조로, 총 용량은 약 500MW입니다.","운영 최적화","전력 인프라",2026-04-01T03:26:00.000Z,https://www.todayenergy.kr/article/260401001,2026-04-01T08:30:00.000Z
2026-04-01,093b5532-1656-4642-a7b4-f7581c440a98,"Canary Media",canary-media,en,Y,"기업 탄소 감축 약속 이행 격차 보고서 — 선언 대비 실행 60% 수준","Corporate climate pledge gap report shows 60% implementation rate vs. commitments","Carbon Disclosure Project(CDP)가 발표한 보고서에 따르면 기업들의 탄소 감축 목표 대비 실제 이행률이 60%에 그치고 있습니다. 공급망 Scope 3 배출 관리와 자금 조달이 주요 장애 요인으로 꼽혔습니다.","ESG·탄소중립",,2026-04-01T04:39:00.000Z,https://www.canarymedia.com/climate/corporate-pledge-gap-2026,2026-04-01T08:30:00.000Z
2026-04-01,37b9e0da-677a-4cf4-9f9a-6457372c904a,"전기신문",electimes,ko,N,"국제 LNG 현물가격 MMBtu당 8달러대 안정 — 유럽 재고 회복 영향",,"유럽의 LNG 저장 재고가 동절기 이후 빠르게 회복되면서 국제 LNG 현물 가격이 MMBtu당 8달러대로 안정됐습니다. 국내 발전용 LNG 비용 부담이 완화될 것으로 기대되나 여름철 재상승 가능성도 있습니다.","시장·가격 동향",,2026-04-01T05:52:00.000Z,https://www.electimes.com/article/260401002,2026-04-01T08:30:00.000Z
2026-04-02,a2f45aa6-1f10-42f0-8d83-d7d2088a87cb,"에너지경제신문",ekn,ko,N,"스마트그리드 AMI 전국 보급률 90% 돌파 — 2025년 목표 달성",,"지능형 전력계량기(AMI) 전국 보급률이 90%를 넘어섰습니다. 수용가 데이터 실시간 수집이 가능해지면서 전력 수요 예측 정밀도가 크게 향상됐으며, 향후 VPP 운영 기반이 될 전망입니다.","전력 인프라","운영 최적화",2026-04-02T01:00:00.000Z,https://www.ekn.kr/article/260402001,2026-04-02T08:30:00.000Z
2026-04-02,9960f017-8fc3-4e3c-9ee3-585193be3ccc,"PV Magazine",pv-magazine,en,Y,"태양광 모듈 가격 2026년 1분기 역대 최저 — 와트당 0.12달러","Solar module prices hit record low in Q1 2026 at $0.12/W","블룸버그NEF에 따르면 2026년 1분기 태양광 모듈 평균 가격이 와트당 0.12달러로 역대 최저를 기록했습니다. 중국 제조업체의 공급 과잉이 주요 원인이며, 신흥 시장에서의 보급 확대로 이어질 전망입니다.","에너지원","시장·가격 동향",2026-04-02T02:13:00.000Z,https://www.pv-magazine.com/2026/04/02/solar-module-record-low,2026-04-02T08:30:00.000Z
2026-04-02,0ca81844-7d4a-4db4-b9a9-d458dab0e561,"Renewables Now",renewables-now,en,Y,"영국 NESO, AI 기반 실시간 재생에너지 계통 균형 시스템 가동","UK NESO launches AI-powered real-time balancing system for renewables integration","영국 국가전력시스템운영자(NESO)가 재생에너지 출력 변동을 실시간으로 보정하는 AI 계통 균형 시스템을 가동했습니다. 풍력과 태양광 예측 정밀도가 25% 향상되어 예비력 비용이 크게 절감됐습니다.","운영 최적화","전력 인프라",2026-04-02T03:26:00.000Z,https://renewablesnow.com/2026/04/02/uk-neso-ai-balancing,2026-04-02T08:30:00.000Z
2026-04-02,59509ec0-adfb-4cc5-a84b-8f4058f96a9e,"Reuters Energy",reuters-energy,en,Y,"EU 에너지 시스템 통합 규정 발효 — 국경 간 재생에너지 거래 촉진","EU energy system integration regulation enters into force, boosting cross-border renewable trading","EU 에너지 시스템 통합 규정이 공식 발효돼 회원국 간 재생에너지 전력 거래 장벽이 낮아졌습니다. 이에 따라 태양광과 풍력 잉여 전력의 국경 간 거래가 활성화되고 에너지 가격 안정에 기여할 전망입니다.","정책·규제","시장·가격 동향",2026-04-02T04:39:00.000Z,https://www.reuters.com/business/energy/eu-energy-integration-regulation-2026,2026-04-02T08:30:00.000Z
2026-04-02,15d96b22-db41-400a-a92e-28acd808c53a,"IEA",iea,en,Y,"IEA, 2026년 글로벌 청정에너지 투자 4조 달러 돌파 전망","IEA forecasts global clean energy investment to surpass $4 trillion in 2026","IEA의 최신 보고서에 따르면 2026년 전 세계 청정에너지 투자가 처음으로 4조 달러를 돌파할 것으로 예상됩니다. 태양광·풍력·배터리 투자가 화석연료 투자를 3배 이상 앞서는 역대 최대 격차입니다.","ESG·탄소중립","시장·가격 동향",2026-04-02T05:52:00.000Z,https://www.iea.org/reports/2026/clean-energy-investment-outlook,2026-04-02T08:30:00.000Z
